id,imdb_id,title,year,vote_count,vote_average,popularity,genres
37557,tt0115012,Shanghai Triad,1995,17.0,6.5,1.100915,"['Drama', 'Crime']"
9909,tt0112792,Dangerous Minds,1995,249.0,6.4,9.481338,"['Drama', 'Crime']"
63,tt0114746,Twelve Monkeys,1995,2470.0,7.4,12.297305,"['Science Fiction', 'Thriller', 'Mystery']"
78802,tt0114952,Wings of Courage,1996,4.0,6.8,0.745542,"['Romance', 'Adventure']"
9598,tt0112431,Babe,1995,756.0,6.0,14.404764,"['Fantasy', 'Drama', 'Comedy', 'Family']"
47018,tt0112637,Carrington,1995,16.0,6.4,1.493361,"['History', 'Drama', 'Romance']"
139405,tt0112286,Across the Sea of Time,1995,2.0,3.5,0.114469,"['Adventure', 'History', 'Drama', 'Family']"
33689,tt0113442,It Takes Two,1995,149.0,6.1,7.777735,"['Comedy', 'Family', 'Romance']"
9603,tt0112697,Clueless,1995,828.0,6.9,9.882383,"['Comedy', 'Drama', 'Romance']"
31174,tt0114279,Richard III,1995,50.0,6.9,4.561387,"['Drama', 'War']"
11443,tt0112819,Dead Presidents,1995,80.0,6.6,9.87957,"['Action', 'Crime', 'Drama', 'History']"
35196,tt0114272,Restoration,1995,30.0,6.3,10.979269,"['Drama', 'Romance']"
9312,tt0113855,Mortal Kombat,1995,452.0,5.4,10.870138,"['Action', 'Fantasy']"
577,tt0114681,To Die For,1995,177.0,6.7,10.448481,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
11861,tt0113347,How To Make An American Quilt,1995,38.0,6.5,4.485958,"['Drama', 'Romance']"
807,tt0114369,Se7en,1995,5915.0,8.1,18.45743,"['Crime', 'Mystery', 'Thriller']"
10530,tt0114148,Pocahontas,1995,1509.0,6.7,13.280069,"['Adventure', 'Animation', 'Drama', 'Family']"
8391,tt0114916,When Night Is Falling,1995,10.0,5.9,3.302524,"['Drama', 'Romance']"
629,tt0114814,The Usual Suspects,1995,3334.0,8.1,16.302466,"['Drama', 'Crime', 'Thriller']"
117164,tt0109950,Guardian Angel,1994,3.0,6.3,0.595949,"['Action', 'Thriller', 'Drama']"
11448,tt0113819,Mighty Aphrodite,1995,145.0,6.7,15.899134,"['Comedy', 'Romance']"
49133,tt0110299,Lamerica,1994,11.0,7.7,1.361286,"['Drama', 'Foreign']"
26441,tt0112499,The Big Green,1995,41.0,5.2,5.982764,"['Action', 'Adventure', 'Comedy', 'Family']"
9089,tt0113321,Home for the Holidays,1995,39.0,6.3,8.416802,"['Comedy', 'Drama', 'Romance']"
11010,tt0110877,The Postman,1994,181.0,7.6,10.168437,"['Comedy', 'Drama', 'Romance']"
99040,tt0112714,The Confessional,1995,2.0,6.5,0.120789,"['Thriller', 'Drama', 'Mystery']"
11359,tt0113419,The Indian in the Cupboard,1995,136.0,5.9,10.673296,"['Adventure', 'Family', 'Fantasy']"
17182,tt0116260,Eye for an Eye,1996,65.0,5.8,4.733526,"['Drama', 'Thriller']"
2054,tt0113862,Mr. Holland's Opus,1995,115.0,6.9,7.137117,"['Music', 'Drama', 'Family']"
19760,tt0118002,Two If by Sea,1996,14.0,4.5,2.174487,"['Comedy', 'Romance']"
11525,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,32.0,2.8,2.49535,"['Action', 'Science Fiction']"
40628,tt0114753,Two Bits,1995,11.0,5.4,4.046208,"['Drama', 'Family']"
4482,tt0113149,French Twist,1995,43.0,6.0,2.518051,"['Comedy', 'Romance']"
755,tt0116367,From Dusk Till Dawn,1996,1644.0,6.9,15.339153,"['Horror', 'Action', 'Thriller', 'Crime']"
11859,tt0113010,Fair Game,1995,54.0,4.1,5.912223,"['Action', 'Thriller', 'Romance']"
28387,tt0113537,Kicking and Screaming,1995,36.0,7.0,3.367276,"['Comedy', 'Drama', 'Romance']"
48750,tt0113828,Les Miserables,1995,8.0,6.6,1.479446,"['Drama', 'History']"
20927,tt0115644,Bed of Roses,1996,27.0,5.1,10.412194,"['Drama', 'Romance']"
36929,tt0115676,Big Bully,1996,16.0,3.9,2.936443,"['Comedy', 'Family']"
9102,tt0114367,Screamers,1995,154.0,6.1,12.758848,"['Horror', 'Science Fiction']"
27526,tt0112744,The Crossing Guard,1995,74.0,6.1,5.756462,"['Drama', 'Thriller']"
9623,tt0116731,The Juror,1996,91.0,5.5,6.010579,"['Drama', 'Thriller']"
46785,tt0112445,The White Balloon,1995,20.0,7.5,1.196256,"['Family', 'Drama']"
400,tt0114660,Things to Do in Denver When You're Dead,1995,87.0,6.7,4.486179,"['Drama', 'Crime']"
880,tt0112379,Antonia's Line,1995,26.0,7.2,2.030174,"['Drama', 'Comedy']"
146599,tt0114039,Once Upon a Time... When We Were Colored,1996,2.0,4.5,0.252287,"['Romance', 'Drama']"
8447,tt0112365,Angels and Insects,1995,17.0,6.3,2.15166,"['Drama', 'Romance']"
10534,tt0118158,White Squall,1996,86.0,6.3,9.568604,"['Action', 'Drama']"
17414,tt0116151,Dunston Checks In,1996,59.0,5.1,4.814825,"['Adventure', 'Comedy', 'Family']"
2086,tt0113972,Nick of Time,1995,190.0,6.1,6.848591,"['Crime', 'Drama', 'Thriller']"
9095,tt0117002,Mary Reilly,1996,77.0,5.7,12.866139,"['Drama', 'Horror', 'Thriller', 'Romance']"
12158,tt0114825,Vampire in Brooklyn,1995,113.0,4.5,9.071127,"['Comedy', 'Horror', 'Romance']"
9283,tt0115639,Beautiful Girls,1996,103.0,6.6,4.670562,"['Comedy', 'Drama', 'Romance']"
9208,tt0115759,Broken Arrow,1996,459.0,5.7,14.957626,"['Action', 'Adventure', 'Drama', 'Thriller']"
45549,tt0111173,Shopping,1994,13.0,5.6,2.657647,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']"
11062,tt0115907,City Hall,1996,67.0,6.0,4.807223,"['Drama', 'Thriller']"
13685,tt0115734,Bottle Rocket,1996,285.0,6.8,6.904831,"['Comedy', 'Crime', 'Drama']"
47475,tt0117102,Mr. Wrong,1996,16.0,3.3,3.329264,"['Comedy', 'Romance']"
2045,tt0118040,Unforgettable,1996,22.0,5.3,2.464425,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']"
688,tt0112579,The Bridges of Madison County,1995,397.0,7.3,5.951077,"['Drama', 'Romance']"
11907,tt0110251,Nobody Loves Me,1994,5.0,5.1,1.015068,"['Drama', 'Comedy', 'Family']"
10874,tt0117110,Muppet Treasure Island,1996,93.0,6.5,6.902423,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']"
197,tt0112573,Braveheart,1995,3404.0,7.7,20.755149,"['Action', 'Drama', 'History', 'War']"
103,tt0075314,Taxi Driver,1976,2632.0,8.1,14.092713,"['Crime', 'Drama']"
33542,tt0113326,Rumble in the Bronx,1995,245.0,6.5,12.314278,"['Crime', 'Action', 'Comedy', 'Thriller']"
43566,tt0115645,Before and After,1996,37.0,5.8,2.938293,"['Drama', 'Thriller']"
51352,tt0112373,Anne Frank Remembered,1995,4.0,7.3,0.243986,"['Documentary', 'Drama', 'Foreign']"
16934,tt0115033,The Young Poisoner's Handbook,1995,19.0,6.9,6.178497,"['Comedy', 'Crime', 'Drama']"
10324,tt0116606,If Lucy Fell,1996,11.0,5.4,2.891918,"['Comedy', 'Romance']"
78406,tt0114536,Steal Big Steal Little,1995,7.0,5.1,1.522412,"['Comedy', 'Drama']"
55731,tt0117427,Race the Sun,1996,21.0,5.2,1.317878,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']"
11066,tt0103859,Boomerang,1992,139.0,5.4,6.506983,"['Comedy', 'Romance']"
11104,tt0109424,Chungking Express,1994,249.0,7.9,6.778979,"['Drama', 'Comedy', 'Romance']"
37975,tt0114808,The Star Maker,1995,29.0,6.8,1.702639,"['Drama', 'Romance']"
2074,tt0116324,Flirting with Disaster,1996,66.0,6.3,5.579088,"['Comedy', 'Romance']"
110972,tt0114131,Pie in the Sky,1996,2.0,7.0,0.699066,"['Comedy', 'Romance']"
32622,tt0112364,Angela,1995,9.0,5.6,2.197439,"['Comedy', 'Drama']"
73067,tt0113107,Frankie Starlight,1995,4.0,5.4,0.637554,"['Drama', 'Romance', 'War']"
11863,tt0113451,Jade,1995,45.0,5.1,11.418917,"['Action', 'Thriller', 'Mystery', 'Romance']"
55475,tt0114015,Nueba Yol,1995,1.0,5.5,0.291021,"['Comedy', 'Drama', 'Romance']"
124636,tt0114500,Sonic Outlaws,1995,0.0,0.0,0.001838,"['Music', 'Documentary']"
9302,tt0118055,Up Close & Personal,1996,51.0,5.9,3.402749,"['Drama', 'Romance']"
16388,tt0112585,The Brothers McMullen,1995,23.0,6.3,2.039196,"['Comedy', 'Drama', 'Romance']"
9737,tt0112442,Bad Boys,1995,1729.0,6.5,9.262184,"['Action', 'Comedy', 'Crime', 'Thriller']"
30765,tt0112342,The Amazing Panda Adventure,1995,31.0,5.0,2.375865,"['Action', 'Adventure', 'Drama', 'Family']"
10474,tt0112461,The Basketball Diaries,1995,472.0,7.2,7.415144,"['Drama', 'Crime']"
22279,tt0112427,An Awfully Big Adventure,1995,11.0,6.0,0.922958,"['Romance', 'Drama', 'Comedy']"
30157,tt0109093,Amateur,1994,21.0,6.5,1.759012,"['Crime', 'Comedy', 'Drama', 'Thriller']"
34996,tt0112288,The Addiction,1995,46.0,6.4,3.137285,"['Drama', 'Horror']"
414,tt0112462,Batman Forever,1995,1529.0,5.2,13.321354,"['Action', 'Crime', 'Fantasy']"
649,tt0061395,Belle de Jour,1967,163.0,7.3,10.142662,"['Drama', 'Romance']"
1873,tt0112495,Beyond Rangoon,1995,21.0,6.4,2.04189,"['Drama', 'Thriller']"
1775,tt0109370,Canadian Bacon,1995,57.0,5.9,5.391556,"['Action', 'Comedy']"
8839,tt0112642,Casper,1995,1045.0,6.0,12.812539,"['Fantasy', 'Comedy', 'Family']"
20649,tt0112688,Clockers,1995,69.0,6.8,4.558992,"['Mystery', 'Crime', 'Drama']"
10329,tt0112715,Congo,1995,214.0,5.0,7.260574,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']"
8963,tt0112740,Crimson Tide,1995,508.0,7.0,8.657365,"['Action', 'Thriller', 'Drama']"
8068,tt0112851,Desperado,1995,898.0,6.8,6.950458,"['Thriller', 'Action', 'Crime']"
8512,tt0112857,Devil in a Blue Dress,1995,88.0,6.3,4.646132,"['Drama', 'Mystery', 'Thriller']"
1572,tt0112864,Die Hard: With a Vengeance,1995,2094.0,6.9,15.138855,"['Action', 'Thriller']"
13552,tt0112887,The Doom Generation,1995,57.0,5.6,7.120806,"['Action', 'Comedy', 'Crime', 'Drama']"
259209,tt0113044,Feast of July,1995,0.0,0.0,0.523575,"['Drama', 'Crime']"
6520,tt0113071,First Knight,1995,319.0,5.9,15.178338,"['Action', 'Adventure', 'Drama', 'Romance']"
10428,tt0113243,Hackers,1995,406.0,6.2,14.810519,"['Action', 'Crime', 'Thriller', 'Drama']"
17447,tt0113464,Jeffrey,1995,19.0,6.5,3.196456,"['Comedy', 'Drama', 'Romance']"
9886,tt0113481,Johnny Mnemonic,1995,380.0,5.5,11.715868,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']"
19326,tt0113500,Jury Duty,1995,34.0,4.0,3.676921,"['Comedy', 'Drama']"
9344,tt0113540,Kids,1995,280.0,6.8,4.877872,"['Drama', 'Crime']"
9071,tt0113677,Living in Oblivion,1995,64.0,7.2,10.058329,"['Drama', 'Comedy']"
8973,tt0113690,Lord of Illusions,1995,87.0,5.9,4.102409,"['Mystery', 'Horror', 'Thriller']"
15730,tt0107447,Love & Human Remains,1993,7.0,7.0,0.354014,"['Comedy', 'Drama']"
47608,tt0113729,Mad Love,1995,27.0,5.5,2.624771,"['Drama', 'Family', 'Romance']"
2293,tt0113749,Mallrats,1995,400.0,6.8,8.25547,"['Romance', 'Comedy']"
9070,tt0113820,Mighty Morphin Power Rangers: The Movie,1995,153.0,5.2,7.024227,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']"
68274,tt0113851,Moonlight and Valentino,1995,10.0,5.6,1.01115,"['Comedy', 'Drama', 'Romance']"
48787,tt0110604,Mute Witness,1995,36.0,6.4,2.466066,"['Thriller', 'Foreign']"
34574,tt0110620,Nadja,1994,12.0,5.9,7.720056,"['Horror', 'Thriller']"
1642,tt0113957,The Net,1995,359.0,5.6,13.304342,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']"
11980,tt0114194,The Prophecy,1995,139.0,6.4,10.187623,"['Fantasy', 'Horror', 'Thriller']"
58372,tt0114241,Reckless,1995,1.0,10.0,0.119713,"['Fantasy', 'Comedy', 'Drama']"
10533,tt0114345,The Scarlet Letter,1995,111.0,5.5,6.752119,"['Drama', 'History', 'Romance']"
10149,tt0114478,Smoke,1995,115.0,7.2,5.552946,"['Comedy', 'Drama']"
9348,tt0114508,Species,1995,457.0,5.5,13.492845,"['Science Fiction', 'Horror', 'Action']"
281,tt0114558,Strange Days,1995,334.0,6.8,11.223055,"['Crime', 'Drama', 'Science Fiction', 'Thriller']"
5967,tt0058450,The Umbrellas of Cherbourg,1964,119.0,7.6,8.133881,"['Drama', 'Romance']"
47939,tt0114663,Three Wishes,1995,18.0,6.1,11.002046,"['Drama', 'Fantasy']"
36834,tt0114702,Total Eclipse,1995,112.0,6.5,4.546552,"['Drama', 'Romance']"
3512,tt0114781,Under Siege 2: Dark Territory,1995,217.0,5.6,7.490247,"['Action', 'Thriller']"
52856,tt0114798,Unstrung Heroes,1995,9.0,6.4,2.881689,"['Comedy', 'Drama', 'Family']"
9560,tt0114887,A Walk in the Clouds,1995,168.0,6.5,9.715639,"['Drama', 'Romance']"
9804,tt0114898,Waterworld,1995,1017.0,5.9,16.885184,"['Adventure', 'Action']"
65796,tt0114938,Wild Bill,1995,27.0,5.9,8.922139,"['Action', 'Western']"
26258,tt0112602,Bushwhacked,1995,29.0,4.9,3.287036,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']"
19155,tt0110882,Before the Rain,1994,45.0,7.7,3.525649,"['Drama', 'War']"
76,tt0112471,Before Sunrise,1995,984.0,7.7,11.304979,"['Drama', 'Romance']"
37141,tt0112438,The Babysitter,1995,27.0,4.7,2.761837,"['Drama', 'Thriller']"
9382,tt0112571,Boys on the Side,1995,48.0,6.3,3.030309,"['Comedy', 'Drama']"
6715,tt0112757,The Cure,1995,58.0,7.2,2.686342,"['Drama', 'Family']"
18256,tt0112643,Castle Freak,1995,40.0,5.8,2.26977,"['Thriller', 'Drama', 'Horror', 'Mystery']"
22625,tt0112679,Circle of Friends,1995,30.0,6.5,2.605521,"['Drama', 'Family', 'Romance']"
1909,tt0112883,Don Juan DeMarco,1994,184.0,6.3,7.438934,"['Romance', 'Drama', 'Comedy']"
8984,tt0109635,Disclosure,1994,217.0,5.9,11.812244,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']"
4954,tt0109676,Drop Zone,1994,91.0,5.1,9.579155,"['Action', 'Adventure', 'Thriller']"
62488,tt0112854,Destiny Turns on the Radio,1995,9.0,5.3,0.710671,"['Crime', 'Comedy', 'Fantasy']"
10531,tt0109579,Death and the Maiden,1994,92.0,7.1,5.484156,"['Drama', 'Thriller', 'Mystery']"
11929,tt0109642,Dolores Claiborne,1995,183.0,7.1,5.8025,"['Crime', 'Drama', 'Mystery']"
10451,tt0111797,Eat Drink Man Woman,1994,76.0,7.5,4.860016,"['Comedy', 'Drama', 'Romance']"
20156,tt0109759,Exotica,1994,64.0,6.5,5.378467,"['Drama', 'Mystery']"
18395,tt0109758,Exit to Eden,1994,28.0,4.3,4.322726,"['Thriller', 'Comedy', 'Crime', 'Romance']"
522,tt0109707,Ed Wood,1994,639.0,7.3,11.720358,"['Comedy', 'Drama', 'History']"
397,tt0113117,French Kiss,1995,179.0,6.2,9.146544,"['Comedy', 'Romance']"
10525,tt0113097,Forget Paris,1995,38.0,6.1,16.236745,"['Comedy', 'Drama', 'Romance']"
27985,tt0113028,Far from Home: The Adventures of Yellow Dog,1995,27.0,5.6,2.657337,"['Action', 'Adventure', 'Drama', 'Family']"
15789,tt0113198,A Goofy Movie,1995,404.0,6.7,10.177977,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
27303,tt0113303,Hideaway,1995,24.0,5.0,8.182165,"['Drama', 'Thriller']"
21183,tt0113089,Fluke,1995,48.0,6.6,4.953936,"['Drama', 'Family', 'Fantasy']"
10954,tt0109771,Farinelli,1994,20.0,5.9,8.935058,"['History', 'Drama']"
47867,tt0113199,Gordy,1995,4.0,3.0,0.398924,"['Drama', 'Family', 'Fantasy']"
43475,tt0113234,Gumby: The Movie,1995,2.0,5.0,0.090452,"['Fantasy', 'Animation', 'Science Fiction', 'Family']"
72031,tt0109906,The Glass Shield,1994,9.0,5.4,1.012197,"['Drama', 'Action', 'Thriller', 'Crime']"
1024,tt0110005,Heavenly Creatures,1994,299.0,6.9,9.438042,"['Drama', 'Fantasy']"
17207,tt0110066,Houseguest,1995,17.0,6.0,2.688562,"['Comedy', 'Family']"
13701,tt0110116,Immortal Beloved,1994,90.0,6.9,7.983666,"['Drama', 'Music', 'Romance']"
14819,tt0110006,Heavyweights,1995,97.0,6.0,9.546707,"['Comedy', 'Family', 'Drama']"
32631,tt0113360,The Hunted,1995,25.0,6.0,2.756986,"['Action', 'Thriller']"
11777,tt0110099,I.Q.,1994,112.0,5.9,5.146352,"['Comedy', 'Drama', 'Romance']"
628,tt0110148,Interview with the Vampire,1994,1558.0,7.2,11.970205,"['Horror', 'Romance']"
87729,tt0113463,Jefferson in Paris,1995,10.0,5.2,1.596058,"['Drama', 'Romance']"
18713,tt0110189,The Jerky Boys,1995,10.0,4.8,0.748846,"['Comedy', 'Crime']"
6280,tt0110216,Junior,1994,381.0,4.7,6.710215,"['Comedy', 'Family', 'Romance']"
9061,tt0113501,Just Cause,1995,124.0,6.0,9.195256,"['Action', 'Drama', 'Mystery', 'Thriller']"
37108,tt0113538,A Kid in King Arthur's Court,1995,40.0,4.3,5.874511,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']"
6071,tt0113552,Kiss of Death,1995,83.0,5.7,7.797512,"['Action', 'Crime', 'Drama', 'Thriller']"
11,tt0076759,Star Wars,1977,6778.0,8.1,42.149697,"['Adventure', 'Action', 'Science Fiction']"
9587,tt0110367,Little Women,1994,222.0,7.0,9.774994,"['Drama', 'Romance']"
19101,tt0113670,A Little Princess,1995,207.0,7.4,7.731725,"['Drama', 'Family', 'Fantasy']"
17961,tt0109731,L'Enfer,1994,22.0,6.6,1.948315,"['Crime', 'Drama']"
18183,tt0103994,Like Water for Chocolate,1992,70.0,6.6,4.126083,"['Drama', 'Romance']"
4476,tt0110322,Legends of the Fall,1994,636.0,7.2,12.199047,"['Adventure', 'Drama', 'Romance', 'War']"
11008,tt0110443,Major Payne,1995,164.0,6.1,9.253362,"['Adventure', 'Comedy', 'Family']"
47504,tt0110365,Little Odessa,1994,31.0,6.4,1.861292,"['Action', 'Drama']"
32325,tt0107566,Mi Vida Loca,1994,9.0,5.7,1.788829,"['Crime', 'Drama']"
43742,tt0110391,Love Affair,1994,11.0,4.3,3.290192,"['Drama', 'Romance']"
11318,tt0110428,The Madness of King George,1994,67.0,6.7,4.81307,"['Comedy', 'Drama', 'History']"
3036,tt0109836,Mary Shelley's Frankenstein,1994,272.0,6.1,14.287753,"['Drama', 'Horror', 'Science Fiction', 'Romance']"
40490,tt0113755,Man of the House,1995,40.0,5.1,2.558118,"['Action', 'Comedy', 'Family']"
24070,tt0110538,Mixed Nuts,1994,37.0,5.2,2.899608,"['Comedy', 'Drama', 'Romance']"
8986,tt0110516,Milk Money,1994,49.0,5.6,3.770115,"['Comedy', 'Romance']"
10510,tt0110527,Miracle on 34th Street,1994,199.0,6.4,5.831622,"['Fantasy', 'Drama', 'Family']"
17402,tt0113808,Miami Rhapsody,1995,7.0,5.6,1.137266,"['Comedy', 'Romance']"
38722,tt0113896,My Family,1995,11.0,7.0,3.121288,"['Comedy', 'Drama']"
8438,tt0113870,Murder in the First,1995,140.0,6.9,9.518564,"['Crime', 'Drama']"
11593,tt0110684,Nobody's Fool,1994,56.0,7.0,2.891269,"['Drama', 'Comedy']"
1945,tt0110638,Nell,1994,128.0,6.1,5.930957,"['Drama', 'Thriller']"
39310,tt0113967,New Jersey Drive,1995,7.0,6.9,0.629955,"['Crime', 'Drama']"
109560,tt0117169,New York Cop,1993,0.0,0.0,0.004537,"['Action', 'Thriller', 'Crime', 'Drama']"
63105,tt0113948,Nemesis 2 - Nebula,1995,10.0,4.6,1.466491,"['Science Fiction', 'Action', 'Thriller']"
131957,tt0110671,Nina Takes a Lover,1995,4.0,7.4,0.769522,"['Drama', 'Romance']"
241,tt0110632,Natural Born Killers,1994,927.0,6.9,11.226856,"['Crime', 'Thriller', 'Drama']"
9058,tt0110737,Only You,1994,92.0,6.4,4.936761,"['Comedy', 'Drama', 'Romance']"
18220,tt0114151,Poison Ivy II: Lily,1996,32.0,4.6,6.448039,"['Drama', 'Romance', 'Thriller']"
6950,tt0114069,Outbreak,1995,522.0,6.4,13.676444,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
101,tt0110413,Leon: The Professional,1994,4293.0,8.2,20.477329,"['Thriller', 'Crime', 'Drama']"
63020,tt0114113,The Perez Family,1995,9.0,6.6,1.433544,"['Comedy', 'Drama', 'Romance']"
2307,tt0114210,A Pyromaniac's Love Story,1995,2.0,7.0,0.463307,"['Comedy', 'Drama', 'Romance']"
680,tt0110912,Pulp Fiction,1994,8670.0,8.3,140.950236,"['Thriller', 'Crime']"
25296,tt0105652,Pushing Hands,1992,9.0,6.1,1.638622,"['Comedy', 'Drama']"
40156,tt0110889,Priest,1994,32.0,6.4,1.881932,"['Drama', 'Romance']"
11450,tt0110932,Quiz Show,1994,262.0,7.1,7.772505,"['History', 'Drama']"
30304,tt0114129,Picture Bride,1995,5.0,7.4,1.296912,"['Drama', 'History']"
10452,tt0110963,Queen Margot,1994,67.0,7.0,4.405405,"['Drama', 'History']"
12106,tt0114214,The Quick and the Dead,1995,431.0,6.2,7.54701,"['Action', 'Western']"
161495,tt0114296,Roommates,1995,7.0,6.4,3.395867,"['Drama', 'Comedy']"
3586,tt0110907,Prêt-à-Porter,1994,33.0,5.3,6.259433,"['Drama', 'Comedy']"
110,tt0111495,Three Colors: Red,1994,246.0,7.8,7.832755,"['Drama', 'Mystery', 'Romance']"
108,tt0108394,Three Colors: Blue,1993,311.0,7.7,8.843517,"['Drama', 'Music', 'Mystery']"
109,tt0111507,Three Colors: White,1994,218.0,7.3,6.5898,"['Comedy', 'Drama', 'Mystery']"
36357,tt0114268,Rent-a-Kid,1995,15.0,5.1,1.155255,"['Comedy', 'Family', 'TV Movie']"
92769,tt0110965,Relative Fear,1995,3.0,4.7,0.499601,"['Horror', 'Drama']"
28033,tt0114571,Stuart Saves His Family,1995,6.0,5.0,1.390885,"['Comedy', 'Drama']"
14334,tt0111112,The Secret of Roan Inish,1994,15.0,6.1,1.750481,"['Drama', 'Family', 'Fantasy']"
2636,tt0111255,The Specialist,1994,317.0,5.5,10.388183,"['Action', 'Thriller']"
2164,tt0111282,Stargate,1994,942.0,6.8,13.328924,"['Action', 'Adventure', 'Science Fiction']"
11395,tt0111070,The Santa Clause,1994,501.0,6.3,9.665424,"['Fantasy', 'Drama', 'Comedy', 'Family']"
278,tt0111161,The Shawshank Redemption,1994,8358.0,8.5,51.645403,"['Drama', 'Crime']"
9905,tt0111149,Shallow Grave,1994,247.0,7.0,8.223026,"['Crime', 'Thriller']"
87078,tt0108260,Suture,1993,7.0,6.0,1.298224,"['Drama', 'Thriller']"
12527,tt0106966,Strawberry and Chocolate,1993,16.0,7.1,1.777197,"['Comedy', 'Drama']"
20306,tt0114594,Swimming with Sharks,1994,104.0,6.7,5.869261,"['Crime', 'Comedy']"
36614,tt0111309,The Sum of Us,1994,21.0,6.0,1.407427,"['Comedy', 'Drama', 'Romance']"
31439,tt0110081,To Live,1994,62.0,7.7,5.260627,"['Drama', 'Romance', 'War']"
9067,tt0114614,Tank Girl,1995,140.0,5.5,7.602087,"['Action', 'Comedy', 'Fantasy', 'Science Fiction']"
9059,tt0114608,Tales from the Crypt: Demon Knight,1995,96.0,6.7,9.455342,"['Horror', 'Comedy', 'Thriller']"
193,tt0111280,Star Trek: Generations,1994,461.0,6.4,8.105708,"['Science Fiction', 'Action', 'Adventure', 'Thriller']"
25066,tt0114609,Tales from the Hood,1995,33.0,5.4,2.86007,"['Crime', 'Horror', 'Thriller']"
46797,tt0111454,Tom & Viv,1994,8.0,5.8,0.704204,"['Drama', 'Romance']"
12122,tt0114852,Village of the Damned,1995,165.0,5.6,6.529879,"['Thriller', 'Horror', 'Science Fiction']"
32636,tt0111590,Vanya on 42nd Street,1994,15.0,6.1,7.039846,"['Drama', 'Romance']"
